9356,Look Who's Talking Too,False,en,Comedy|Romance,TriStar Pictures,0,1990-12-14,81,"Mollie and James are together and raising a family, which now consists of an older Mikey and his baby sister, Julie. Tension between the siblings arises, and as well with Mollie and James when Mollie's brother Stuart moves in. Mikey is also learning how to use the toilet for the first time.",0
5549,RoboCop 2,False,en,Action|Adventure|Crime|Science Fiction|Thriller,Orion Pictures,35000000,1990-06-22,117,A corrupt businesswoman seeks to disable RoboCop in favor of her own model of cyborg.,45681173
11595,Another 48 Hrs.,False,en,Action|Comedy|Crime|Drama|Thriller,Paramount Pictures,38000000,1990-06-08,95,"For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the ""Ice Man"". Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.",153518974
11092,Presumed Innocent,False,en,Crime|Drama|Mystery|Thriller,Warner Bros. Pictures,0,1990-07-26,127,"Life takes a nasty twist for D.A. Rusty Sabich when the woman he has been romantically involved with is murdered. He is assigned to investigate the case, but is soon charged with the murder.",221303188
1700,Misery,False,en,Horror|Thriller,Castle Rock Entertainment|Columbia Pictures|Nelson Entertainment,20000000,1990-11-28,107,"Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes, the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also somewhat unstable, and Paul finds himself crippled, drugged and at her mercy.",61276872
1498,Teenage Mutant Ninja Turtles,False,en,Action|Adventure|Comedy|Family|Science Fiction,Golden Harvest Company|New Line Cinema,13500000,1990-03-30,93,A quartet of mutated humanoid turtles clash with an uprising criminal gang of ninjas,201965915
928,Gremlins 2: The New Batch,False,en,Comedy|Fantasy|Horror,Amblin Entertainment|Warner Bros.,50000000,1990-06-15,106,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",41482207
13995,Captain America,False,en,Action|Science Fiction|War,21st Century Film Corporation|Jadran Film|Marvel Enterprises,10000000,1990-12-14,97,"During World War II, a brave, patriotic American Soldier undergoes experiments to become a new supersoldier, ""Captain America."" Racing to Germany to sabotage the rockets of Nazi baddie ""Red Skull"", Captain America winds up frozen until the 1990s. He reawakens to find that the Red Skull has changed identities and is now planning to kidnap the President of the United States.",0
11005,Awakenings,False,en,Drama,Columbia Pictures Corporation|Parkes/Lasker productions,0,1990-12-12,121,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",52096475
8592,Dick Tracy,False,en,Action|Adventure|Comedy|Crime|Thriller,Touchstone Pictures,47000000,1990-06-15,103,"The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob,",103738726
379,Miller's Crossing,False,en,Crime|Drama|Thriller,Circle Films|Twentieth Century Fox Film Corporation,14000000,1990-09-21,115,"Set in 1929, a political boss and his advisor have a parting of the ways when they both fall for the same woman.",5080409
10837,DuckTales: The Movie - Treasure of the Lost Lamp,False,en,Adventure|Animation|Comedy|Family|Fantasy,DisneyToon Studios,0,1990-08-03,74,"Scrooge McDuck, his dimwitted pilot Launch Pad, and his newphews Huey, Dewey and Louie, with Webby, arrive in Egypt where Scrooge finds the lost treasure of Collie Baba, unbeknownst to Scrooge, a magic lamp was included inside the treasure, so while the nephews have fun with the genie, they all have no idea that they're being stalked by a power hungry sorceror named Murlock and his dimwitted thief.",0
10173,Marked for Death,False,en,Action|Thriller,20th Century Fox|Steamroller Productions|Victor & Grais Productions,12000000,1990-10-05,94,"Just retired from the Drug Enforcement Agency, John Hatcher (Seagal) returns to his hometown and quickly discovers that drugs have infiltrated his old neighborhood. Determined to drive the dealers out , Hatcher crosses pathes with a ferocious Jamaican druglord who vowes that Hatcher and his family are now marked for death.",46044400
114,Pretty Woman,False,en,Comedy|Romance,Silver Screen Partners IV|Touchstone Pictures,14000000,1990-03-23,119,"When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?",463000000
2119,Days of Thunder,False,en,Adventure,Don Simpson/Jerry Bruckheimer Films|Paramount Pictures,60000000,1990-06-27,107,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.",157920733
11186,Child's Play 2,False,en,Drama|Horror,Universal Pictures,13000000,1990-11-09,84,"Chuckie's back as the doll possessed by the soul of a serial killer, butchering all who stand in his way of possessing the body of a boy.",35763605
2670,Stephen King's It,False,en,Drama|Horror|Mystery|Thriller,Lorimar Television,0,1990-01-01,192,"A series of murders prompts Mike Hanlon to suspect that the supernatural menace that he and a group of friends battled as children has returned. He begins to call his friends to remind them of the oath they swore: if It returned again, they would come back to Derry to do battle again.",0
