11761,Peacock
43090,Gunless
44862,Once Fallen
35402,Icarus
51250,Gun
43549,The Experiment
34016,She's Out of My League
56272,Elektra Luxx
34182,Confucius
46837,Kaboom
38073,Going the Distance
43479,Off Limits
48303,Certified Copy
60809,Single By Contract
35552,The Extraordinary Adventures of Adèle Blanc-Sec
39210,Somewhere
50674,The Lost Future
44113,Stone
42889,The Virginity Hit
50204,Burke & Hare
41382,Lottery Ticket
45162,Superman/Batman: Apocalypse
46528,The Warrior's Way
49004,Beneath the Dark
34179,14 Blades
57361,The Yellow Sea
43922,Legendary
48034,Little White Lies
38843,Ramona and Beezus
61404,Point Blank
51273,Dark World
27585,Rabbit Hole
59490,Cave of Forgotten Dreams
36950,You Don't Know Jack
43944,Bonded by Blood
49706,Dream Home
35025,Le Mac
37737,Kites
43919,Hatchet II
35153,The Heavy
50135,Animals United
43939,I'm Still Here
37786,Sex and the City 2
58446,Daydream Nation
50838,Wrecked
51875,Miss Nobody
43949,Flipped
46705,Blue Valentine
37414,The Killer Inside Me
36550,Jack and the Beanstalk
35217,Friendship!
39446,At Risk
52349,In Gold We Trust
27583,Greenberg
46441,Mirrors 2
45013,Burning Palms
35458,Crazy on the Outside
44716,In a Better World
65760,The Whistleblower
41515,Yogi Bear
59435,An Invisible Sign
34335,Nine Dead
46138,Made in Dagenham
46541,Game of Death
44638,The Tempest
41411,The Round Up
51090,With Love... from the Age of Reason
46261,Don't Be Afraid of the Dark
41556,The Romantics
35656,As Good As Dead
43642,Abandoned
39053,Cyrus
31035,A Somewhat Gentle Man
37816,Dark Island
55045,Psych:9
58764,Lapland Odyssey
33107,And Soon the Darkness
57695,The Princess of Montpensier
40794,Loose Cannons
31992,Freeway Killer
48392,Sound of Noise
43931,My Soul to Take
44835,Hesher
38626,Going Postal
39486,Secretariat
42888,How Do You Know
49347,Needle
50848,The Names of Love
129182,Oh! Invisible Man
62871,Quartier Lointain
53459,F
45781,Hole in One
41445,Psychosis
52208,Nude Nuns With Big Guns
49787,The Reef
45756,Saint
35688,Why Did I Get Married Too?
46934,Mr Nice
60309,The Conspirator
12645,Inhale
47467,Kill Speed
51271,Yaroslav. A Thousand Years Ago
52274,Julia's Eyes
46332,Of Gods and Men
30675,Planet Hulk
56623,"Ao, The Last Neanderthal"
55692,Scrat's Continental Crack-Up
29427,The Crazies
40194,Paris Express
26022,My Name Is Khan
34777,King of Triads
68193,The Perfect Teacher
41345,Shank
39957,Burning Bright
37813,Shadow
35558,StarStruck
41592,StreetDance 3D
60575,Prowl
38358,The Last Exorcism
42941,30 Days of Night: Dark Days
62728,Brighton Rock
60011,The Bang Bang Club
39452,Exit Through the Gift Shop
37034,True Legend
43935,Dylan Dog: Dead of Night
67198,Bloodworth
42296,Catfish
45658,Everything Must Go
63555,Leap Year
37832,Mammuth
55246,Ceremony
71622,Atrocious
60534,The Silence
51409,The Tree
46103,Born to Raise Hell
38156,The Big I Am
51072,Beautiful Lies
45556,Arctic Blast
41273,On Tour
54532,Is It Just Me?
45569,Red Hill
61591,Welcome to the Space Show
33555,Sherlock Holmes
27584,High School
29920,Easy Money
44245,Triple Tap
33427,LEGO: The Adventures of Clutch Powers
148284,Robot
36085,The Crocodiles Strike Back
22166,Fast Lane
43943,Jack Goes Boating
63561,Ben Hur
41271,Copacabana
55061,Frankie & Alice
57243,The Women on the 6th Floor
57703,Norwegian Wood
76820,Drunkboat
44425,Dabangg
48836,Kill Katie Malone
55215,Dead Space: Aftermath
40722,How to Make Love to a Woman
47386,Yellow Brick Road
1771,Captain America: The First Avenger
10195,Thor
12445,Harry Potter and the Deathly Hallows: Part 2
64690,Drive
56292,Mission: Impossible - Ghost Protocol
1865,Pirates of the Caribbean: On Stranger Tides
61791,Rise of the Planet of the Apes
