11673,Cyrano de Bergerac,False,fr,Comedy|Drama|History|Romance,DD Productions|Films A2|Hachette Première,0,1990-03-28,137,0
9086,Young Guns II,False,en,Adventure|Western,Morgan Creek Productions,20,1990-07-30,132,0
19185,Night of the Living Dead,False,en,Horror,21st Century Film Corporation|Columbia Pictures Corporation,4200000,1990-10-19,88,5835247
18767,Island of Fire,False,cn,Action|Crime|Drama|Foreign|Thriller,,0,1990-01-01,95,0
10169,Men at Work,False,en,Comedy|Crime,Metro-Goldwyn-Mayer (MGM),0,1990-08-24,98,0
9362,Tremors,False,en,Action|Comedy|Horror|Science Fiction|Thriller,No Frills Film Production|Universal Pictures,11000000,1990-01-19,96,48572000
9556,Darkman,False,en,Action|Crime|Science Fiction,Renaissance Pictures|Universal Pictures,16000000,1990-08-24,96,48878502
2927,Moon 44,False,en,Action|Science Fiction|Thriller,Centropolis Film Productions,0,1990-02-15,98,0
11510,Repossessed,False,en,Comedy|Horror,Carolco Pictures|Seven Arts Productions,0,1990-09-14,80,0
6723,The Rookie,False,en,Action|Comedy|Crime|Drama|Thriller,Malpaso Productions|Warner Bros.,0,1990-12-06,120,0
11077,Problem Child,False,en,Comedy,Imagine Entertainment|Universal Pictures,10,1990-07-27,81,53
20701,Tales from the Darkside,False,en,Comedy|Fantasy|Horror,Darkside Movie|Laurel Productions|Paramount Pictures,3,1990-05-03,93,16
20481,Nightbreed,False,en,Action|Drama|Fantasy|Horror|Romance,Morgan Creek Productions|Seraphim Films|Twentieth Century Fox Film Corporation|Warner Home Video,11,1990-02-16,102,8
12157,Green Card,False,en,Comedy|Drama|Romance,Touchstone Pictures,0,1990-12-23,108,29888235
2612,Mr. Destiny,False,en,Comedy|Fantasy|Romance|Science Fiction,Touchstone Pictures,20000000,1990-10-12,110,15379253
60577,Bullseye!,False,en,Comedy,21st Century Film Corporation|Columbia Pictures,0,1990-11-02,95,0
37865,Buried Alive,False,en,Horror|TV Movie|Thriller,Niki Marvin Productions|Universal TV,0,1990-05-09,93,0
21811,Ski School,False,en,Comedy,Moviestore Entertainment|Rose & Ruby Productions,0,1990-01-01,95,0
10164,Cadillac Man,False,en,Comedy|Drama,Orion Pictures,0,1990-05-18,97,27575086
9586,The Bonfire of the Vanities,False,en,Comedy|Drama,,47000000,1990-12-21,125,15691192
12719,Flashback,False,en,Action|Comedy|Crime,60/80 Productions|Paramount Pictures,0,1990-02-02,108,6488144
19086,Delta Force 2: The Colombian Connection,False,en,Action|Adventure,,0,1990-08-24,111,6698361
27274,Frankenhooker,False,en,Comedy|Horror|Science Fiction,Shapiro-Glickenhaus Entertainment,2500000,1990-06-01,85,205068
20876,A Shock to the System,False,en,Comedy|Drama|Thriller,Brigand Films,0,1990-03-23,91,0
9768,Cry-Baby,False,en,Comedy|Music,Imagine Entertainment|Universal Pictures,11000000,1990-04-05,85,8266343
18311,Days of Being Wild,False,cn,Crime|Drama|Romance,Media Asia Films,0,1990-12-15,91,141864
8428,Pump up the Volume,False,en,Drama|Music,New Line Cinema|SC Entertainment,0,1990-08-22,105,11541758
11856,Air America,False,en,Action|Adventure|Comedy|Drama,Carolco Pictures|IndieProd Company Productions,0,1990-08-10,112,0
18129,The Grifters,False,en,Crime|Drama,Cineplex-Odeon Films|Miramax Films,0,1990-09-14,110,13446769
34636,The NeverEnding Story II: The Next Chapter,False,en,Adventure|Drama|Family|Fantasy,Bavaria Film|Cinevox Filmproduktion GmbH|Dieter Geissler Filmproduktion|Warner Bros.,32000000,1990-10-25,89,16283667
12516,Dreams,False,ja,Drama|Fantasy|Science Fiction,Warner Bros.,0,1990-05-11,119,0
14249,Revenge,False,en,Crime|Drama|Romance,Columbia Pictures|New World Pictures,0,1990-02-16,123,15645616
32669,The Two Jakes,False,en,Crime|Drama|Mystery,Paramount Pictures,19000000,1990-08-10,138,10000000
9558,King of New York,False,en,Crime|Thriller,Carolco Pictures|Reteitalia|Seven Arts Pictures|The Rank Organisation,1000000,1990-07-18,103,2554476
40729,The Gate II: Trespassers,False,en,Horror,Alliance Entertainment|Epic Productions|Vision PDG,0,1990-05-24,93,0
28761,White Hunter Black Heart,False,en,Action|Adventure|Drama,Warner Bros.,0,1990-09-14,112,0
24016,The Sheltering Sky,False,en,Adventure|Drama|Romance,Warner Bros.,25000000,1990-10-24,138,2075084
6488,Arachnophobia,False,en,Comedy|Horror,Amblin Entertainment|Hollywood Pictures|Tangled Web Productions,31000000,1990-08-09,103,53208180
26936,Boiling Point,False,en,Action|Comedy|Crime|Foreign,Bandai Visual Company|Shochiku-Fuji Company,0,1990-09-15,96,0
1662,State of Grace,False,en,Action|Crime|Drama|Thriller,Cinehaus|Orion Pictures|The Rank Organisation,0,1990-09-14,134,0
40377,Psycho IV: The Beginning,False,en,Drama|Horror|Mystery|Thriller,Universal TV,0,1990-11-10,96,0
27815,Basket Case 2,False,en,Horror,Shapiro-Glickenhaus Entertainment,2500000,1990-03-02,90,0
57663,God of Gamblers II,False,cn,Action|Comedy,,0,1990-12-13,99,0
2302,Avalon,False,en,Drama,Baltimore Pictures|TriStar Pictures,0,1990-10-05,126,0
11131,Nuns on the Run,False,en,Comedy,20th Century Fox,0,1990-03-16,89,0
21168,The Reflecting Skin,False,en,Drama|Horror|Thriller,BBC Films|British Screen Productions|Fugitive Features|Zenith Entertainment,0,1990-08-28,95,0
25528,American Ninja 4: The Annihilation,False,en,Action|Thriller,Cannon Group,0,1990-10-30,99,0
1560,Singapore Sling,False,el,Comedy|Drama|Horror,Cinekip|Greek Film Center|Marni Film,0,1990-09-13,115,0
6393,Taking Care of Business,False,en,Comedy,Hollywood Pictures|Silver Screen Partners,0,1990-08-16,108,0
101886,Summer Night in Town,False,fr,Drama|Romance,AAA Productions|Eléfilm,0,1990-08-22,85,0
11909,Bullet in the Head,False,cn,Crime|Drama|Thriller,Golden Princess Film Production Limited|John Woo Film Production,3500000,1990-08-17,130,0
18971,Rosencrantz & Guildenstern Are Dead,False,en,Comedy|Drama,Brandenberg,0,1990-09-12,117,0
29514,Two Evil Eyes,False,en,Horror|Thriller,,9000000,1990-01-25,120,0
31676,Desperate Hours,False,en,Mystery|Thriller,Metro-Goldwyn-Mayer (MGM),0,1990-10-05,105,0
23535,Class of 1999,False,en,Science Fiction|Thriller,Lightning Pictures|Original Pictures,0,1990-05-11,99,0
19158,Graveyard Shift,False,en,Drama|Horror,Graveyard Productions|JVC Entertainment Networks|Paramount Pictures,10500000,1990-10-26,89,11582891
10168,The Freshman,False,en,Comedy|Crime,TriStar Pictures,0,1990-07-20,102,0
59820,Come See the Paradise,False,en,Drama|History|Romance,20th Century Fox,0,1990-08-17,133,0
11491,"Fire, Ice & Dynamite",False,fr,Action|Adventure|Comedy,Willy Bogner Film,0,1990-10-18,106,0
11587,The Exorcist III,False,en,Horror|Mystery|Thriller,Morgan Creek Productions,0,1990-08-17,110,39024251
951,Kindergarten Cop,False,en,Action|Comedy|Thriller,Imagine Entertainment|Universal Pictures,15000000,1990-12-21,111,201957688
10917,Too Young to Die?,False,en,Crime|Drama,Frank & Bob Films II|Von Zerneck Sertner Films,0,1990-02-26,92,0
11309,Hardware,False,en,Horror|Science Fiction|Thriller,British Screen Productions|Palace Pictures|Wicked Films,1500000,1990-09-14,93,5728953
10264,Hamlet,False,en,Drama|History,Carolco Pictures|Icon Productions|Nelson Entertainment|Warner Bros. Pictures,0,1990-12-19,130,20710451
